restaurant_code,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,restaurant_review_count,restaurant_review_point,naver_blog_count,restaurant_size
260,"서울특별시 서대문구 연세로9길 10-7 (창천동) 2층",엔터엘피바,,LP바,0,0,0,0,0,0
261,"서울특별시 마포구 독막로3길 34 (서교동) 1층",홍대육지,,돼지고기구이,0,0,0,0,0,0
262,"서울특별시 마포구 양화로6길 21 (서교동) 2층",당인리극장,,한식주점,0,0,0,0,0,0
263,"서울특별시 마포구 양화로10길 20 (서교동) 1층 101호",언덕집,,"한식주점,육회",0,0,0,0,0,0
264,"서울특별시 마포구 독막로8길 27 (합정동)",까사벨라즈,,츄러스,0,0,0,0,0,0
265,"서울특별시 마포구 잔다리로 20-11 (서교동)",붉은낙타,,한식주점,0,0,0,0,0,0
266,"서울특별시 마포구 독막로3길 26 (서교동)",더씨,,생선회,0,0,0,0,0,0
267,"서울특별시 마포구 양화로8길 14 (서교동)",추자로557,,생선회,0,0,0,0,0,0
268,"서울특별시 마포구 독막로 47-1 (합정동)",홍일품,,게장,0,0,0,0,0,0
269,"서울특별시 마포구 독막로3길 33-3 (서교동)",그늘,,한식주점,0,0,0,0,0,0
270,"서울특별시 마포구 동교로 94 (서교동)",망원회관,,"소고기구이,돼지고기구이",0,0,0,0,0,0
271,"서울특별시 마포구 와우산로11길 9-9 (상수동) 1층",칸스,,"한식주점,멕시코식",0,0,0,0,0,0
272,"서울특별시 마포구 홍익로 10 (서교동) 서교푸르지오",모모유부,,유부초밥,0,0,0,0,0,0
273,"서울특별시 마포구 월드컵북로 9-1 (서교동) 1층",육전국밥,,"소고기국밥,육전,막국수",0,0,0,0,0,0
274,"서울특별시 마포구 양화로15길 12 (서교동)",설참치,,참치,0,0,0,0,0,0
275,"서울특별시 마포구 동교로 210 (동교동) 태전빌딩",사천리훠궈,,훠궈,0,0,0,0,0,0
276,"서울특별시 마포구 와우산로13길 23 (상수동)",에꼴리,,이탈리아식,1,0,0,0,0,0
277,"서울특별시 마포구 잔다리로3안길 44 (서교동) 1층 좌측",합계,,일식닭구이,1,0,0,0,0,0
278,"서울특별시 마포구 와우산로3길 6 (상수동) 1층",재원미경,,와인바,1,0,0,0,0,0
279,"서울특별시 마포구 양화로6길 57-13 (서교동) 지하 1층",호계,,"통닭,퓨전중식",1,0,0,0,0,0
280,"서울특별시 마포구 성지3길 55 (합정동)",염돈,,돼지고기구이,1,0,0,0,0,0
281,"서울특별시 마포구 양화로6길 76 (합정동) 대동빌딩 1층",짚불돈,,돼지고기구이,1,0,0,0,0,0
282,"서울특별시 마포구 양화로16길 15 (서교동) 무광빌딩","일편장어 홍대본점",,장어,1,0,0,0,0,0
283,"서울특별시 마포구 잔다리로3안길 27 (서교동)",깃뜰,,돼지고기구이,1,0,0,0,0,0
284,"경기도 수원시 팔달구 화서문로31번길 14-9 (장안동) 1층",톤톤톤,,오코노미야키,1,0,0,0,0,0
285,"서울특별시 마포구 와우산로 43 (상수동)",푸글렌서울,,커피전문점,0,0,0,0,0,0
286,"서울특별시 마포구 어울마당로 57 (서교동) 1층",북촌손만두,,만두,0,0,0,0,0,0
287,"서울특별시 마포구 성지1길 39 (합정동) 7층",티에리스티라운지,,홍차전문점,0,0,0,0,0,0
288,"서울특별시 마포구 동교로32길 3 (연남동) 1층",무명요리사,,이자카야,0,0,0,0,0,0
289,"서울특별시 마포구 와우산로 162-14 (서교동)",재지패티,,햄버거,0,0,0,0,0,0
290,"서울특별시 마포구 연남로 51-1 (연남동)",이미양과자,,카페,0,0,0,0,0,0
291,"서울특별시 마포구 성미산로26길 9 (연남동) 1층 101호",모닐이네하우스,,구움과자,0,0,0,0,0,0
292,"서울특별시 마포구 어울마당로 146-1 (서교동)",홍익숯불갈비소금구이,,"삼겹살,돼지고기구이,돼지갈비",0,0,0,0,0,0
293,"서울특별시 마포구 양화로 72 (서교동) 서교동 효성 해링턴 타워",스시로운생활,,스시,0,0,0,0,0,0
294,"서울특별시 마포구 성미산로17길 114 (연남동) 2층",우탕,,갈비탕,0,0,0,0,0,0
295,"서울특별시 마포구 동교로 266-11 (연남동) 1층 102호, 바다약방",바다약방,,"생선회,한식주점",0,0,0,0,0,0
296,"서울특별시 마포구 동교로38길 6 (연남동) 1,2층",준무,,이자카야,0,0,0,0,0,0
297,"서울특별시 서대문구 신촌로 9 (창천동)",아메노히커피점,,커피전문점,0,0,0,0,0,0
298,"서울특별시 마포구 동교로 262-11 (연남동) 1층",연미정,,일식,0,0,0,0,0,0
299,"서울특별시 마포구 월드컵북로4길 30 (동교동)",빵나무,,베이커리,0,0,0,0,0,0
300,"서울특별시 마포구 와우산로29바길 20 (서교동) 2층",누바,,호프,0,0,0,0,0,0
301,"서울특별시 마포구 성미산로29안길 19-5 (연남동)",산왕반점,,일반중식,0,0,0,0,0,0
302,"서울특별시 마포구 월드컵북로6길 82 (동교동) 신한빌딩 1층",프랑스포차부부드꼼뜨와,,"프렌치비스트로,프랑스식",0,0,0,0,0,0
303,"서울특별시 마포구 독막로3길 30 (서교동) 에이치포빌딩 2층",우마담,,한우오마카세,0,0,0,0,0,0
304,"서울특별시 마포구 월드컵로10길 15 (서교동)",홍대카레츠,,"오므라이스,일식돈가스",0,0,0,0,0,0
305,"서울특별시 마포구 연희로1길 43 (연남동) 1층 101호",서양면옥,,양식,0,0,0,0,0,0
306,"서울특별시 마포구 연희로1길 19 (동교동)",심야식당하스,,"일본가정식,이자카야",0,0,0,0,0,0
307,"서울특별시 마포구 성미산로29안길 27-6 (연남동)",란콰이진,,홍콩식주점,0,0,0,0,0,0
308,"서울특별시 마포구 동교로51길 3 (연남동) 1층",아꽁뜨,,디저트전문점,0,0,0,0,0,0
